weight,word,color,url
4,didnt,,
3,hopes,,
3,truth,,
2,worth,,
2,doing,,
2,shake,,
2,life,,
2,hear,,
2,reason,,
2,lemonade,,
2,shower,,
2,want,,
2,eating,,
2,waffles,,
2,used,,
2,sure,,
2,dreams,,
2,bad,,
2,pink,,
2,purple,,
2,admission,,
2,day,,
2,soldiers,,
2,requirements,,
2,lived,,
2,elephant,,
1,lasting,,
1,knives,,
1,idea,,
1,standing,,
1,ones,,
1,head,,
1,job,,
1,interviews,,
1,forms,,
1,liked,,
1,lifestyle,,
1,impression,,
1,unfathomable,,
1,response,,
1,team,,
1,windy,,
1,consider,,
1,lack,,
1,milk,,
1,cereal,,
1,proper,,
1,emergency,,
1,thighhigh,,
1,hours,,
1,sharpening,,
1,pay,,
1,talked,,
1,scarf,,
1,jason,,
1,gangster,,
1,motto,,
1,chic,,
1,responsibility,,
1,poorly,,
1,shingle,,
1,color,,
1,couple,,
1,man,,
1,military,,
1,start,,
1,earmuffs,,
1,body,,
1,water,,
1,exactly,,
1,shoulders,,
1,expected,,
1,finding,,
1,confused,,
1,entered,,
1,oneroom,,
1,library,,
1,piercing,,
1,powerpoint,,
1,fishermans,,
1,bring,,
1,retain,,
1,delivered,,
1,news,,
1,offended,,
1,suggestion,,
1,baby,,
1,brother,,
1,jewel,,
1,thief,,
1,delighted,,
1,sea,,
1,cucumber,,
1,juice,,
1,tomorrow,,
1,new,,
1,hoped,,
1,leave,,
1,today,,
1,memory,,
1,martha,,
1,came,,
1,conclusion,,
1,weights,,
1,great,,
1,gift,,
1,occasion,,
1,fish,,
1,listened,,
1,intently,,
1,frogs,,
1,hed,,
1,joy,,
1,hope,,
1,neighborhood,,
1,dinner,,
1,soon,,
1,picnic,,
1,turned,,
1,despair,,
1,red,,
1,greener,,
1,let,,
1,balloon,,
1,float,,
1,air,,
1,miniature,,
1,pet,,
1,envy,,
1,sky,,
1,singing,,
1,clear,,
1,stars,,
1,twinkling,,
1,sudden,,
1,rainstorm,,
1,washed,,
1,crocodiles,,
1,ocean,,
1,llama,,
1,resist,,
1,trying,,
1,balloons,,
1,floated,,
1,away,,
1,beach,,
1,talk,,
1,lesson,,
1,enjoyed,,
1,skateboards,,
1,common,,
1,theres,,
1,roses,,
1,thorns,,
1,tart,,
1,quenched,,
1,thirst,,
1,longing,,
1,giraffe,,
1,im,,
1,turtle,,
1,joyce,,
1,pancakes,,
1,advertising,,
1,ketchup,,
1,ended,,
1,burning,,
1,fingers,,
1,poking,,
1,elses,,
1,heat,,
1,excitement,,
1,replaced,,
1,fear,,
1,final,,
1,moment,,
1,garlic,,
1,dinosaurs,,
1,crime,,
1,favorite,,
1,típs,,
1,questions,,
1,realworld,,
1,experience,,
1,sfu,,
1,offers,,
1,stand,,
1,detailed,,
1,information,,
1,application,,
1,process,,
1,requirement,,
1,tips,,
1,interview,,
1,mugaya,,
1,wonderful,,
1,mention,,
1,entire,,
1,event,,
1,informative,,
1,specifying,,
1,programme,,
1,details,,
1,regarding,,
1,program,,
1,vdhdhdnd,,
1,,,
1,secret,,
1,ingredient,,
1,icecream,,
1,understand,,
1,important,,
1,happen,,
1,spotted,,
1,striped,,
1,blue,,
1,worm,,
1,hands,,
1,legless,,
1,lizard,,
1,people,,
1,telling,,
1,orange,,
1,prefer,,
1,known,,
1,going,,
1,stepped,,
1,friday,,
1,encountered,,
1,explosive,,
1,daisy,,
1,tell,,
1,tale,,
1,covered,,
1,person,,
1,room,,
1,interesting,,
1,perspective,,
1,world,,
1,flat,,
1,learned,,
1,saw,,
1,sunhat,,
1,bird,,
1,beautiful,,
1,wanted,,
1,ride,,
1,bicycle,,
1,best,,
1,city,,
1,forest,,
1,dentist,,
1,tells,,
1,chewing,,
1,bricks,,
1,teeth,,
1,ive,,
1,seen,,
1,brandy,,
1,penguin,,
1,glass,,
1,filled,,
1,wine,,
1,book,,
1,liquefy,,
1,brain,,
1,hair,,
1,soup,,
1,flavor,,
1,better,,
1,ants,,
1,fleas,,
1,skateboarding,,
1,say,,
